RECEIVING_LOCATION,FULFILLING_LOCATION,VOLUME_WEIGHT_BUCKET,PACKAGE_PRODUCT_VOLUME_BUCKET,FACE_PANEL_BUCKET,TV_TYPE,TV_BRAND,TV_SIZE,WG_BG,Writeoff_Percent_Qty
Brampton,ON,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0242
Indis,QC,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.0084
Brampton,ON,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0058
Indis,QC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0311
Brampton,ON,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0328
Langley,BC,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0036
Indis,QC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.006
Indis,QC,f 10000-12000,d 0.7-0.8,e 1.06-1.08,LED,LG,b 30-39,B,0.0047
Langley,BC,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0063
Brampton,ON,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,LG,b 30-39,B,0.005
Brampton,ON,i 16000-18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0228
Indis,QC,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.016
Indis,QC,f 10000-12000,f 1.0-1.5,h 1.12-1.14,LED,SAMSUNG,a <30,B,0.0051
Indis,QC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.008
Brampton,ON,h 14000-16000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,b 30-39,B,0.0178
Brampton,ON,d 6000-8000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0094
Brampton,ON,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,c 40-44,B,0.0053
Langley,BC,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0059
Brampton,ON,f 10000-12000,e 0.8-1.0,f 1.08-1.10,PLASMA,LG,e 50-56,B,0.0033
Brampton,ON,f 10000-12000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0092
Indis,QC,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0056
Brampton,ON,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0067
Langley,BC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0184
Brampton,ON,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,SONY,b 30-39,B,0.0076
Brampton,ON,h 14000-16000,d 0.7-0.8,c 1.02-1.04,LED,VIZIO,e 50-56,B,0.0241
Indis,QC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,b 30-39,B,0.0061
KNN,AB,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0031
Brampton,ON,e 8000-10000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,B,0.0071
Brampton,ON,b 2000-4000,i 3.0-4.0,h 1.12-1.14,LED,CHINA,a <30,B,0.0393
KNN,AB,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0028
KNN,AB,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.0028
Brampton,ON,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,W,0.0252
Brampton,ON,d 6000-8000,h 2.0-3.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0032
KNN,AB,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.01
Brampton,ON,h 14000-16000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0213
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.0065
KNN,AB,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,LG,e 50-56,W,0.0162
Brampton,ON,b 2000-4000,h 2.0-3.0,d 1.04-1.06,LED,SONY,c 40-44,B,0.0029
Indis,QC,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,LG,e 50-56,W,0.018
Brampton,ON,h 14000-16000,b 0.5-0.6,e 1.06-1.08,LED,LG,d 45-49,B,0.0076
Brampton,ON,a <2000,f 1.0-1.5,e 1.06-1.08,LED,LG,b 30-39,B,0.0004
Indis,QC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0416
KNN,AB,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.0175
Brampton,ON,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,W,0.0073
KNN,AB,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0577
Brampton,Ingram,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0334
