RECEIVING_LOCATION,FULFILLING_LOCATION,VOLUME_WEIGHT_BUCKET,PACKAGE_PRODUCT_VOLUME_BUCKET,FACE_PANEL_BUCKET,TV_TYPE,TV_BRAND,TV_SIZE,WG_BG,Writeoff_Percent_Qty
Indis,QC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.007
Brampton,Ingram,d 6000-8000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.007
KNN,AB,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,LG,b 30-39,B,0.001
Brampton,Ingram,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.0263
KNN,AB,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0263
KNN,AB,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0122
Indis,QC,f 10000-12000,e 0.8-1.0,f 1.08-1.10,PLASMA,LG,e 50-56,B,0.0051
KNN,AB,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,W,0.0165
KNN,AB,h 14000-16000,f 1.0-1.5,g 1.10-1.12,PLASMA,SAMSUNG,f >=57,W,0.0072
Langley,BC,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0021
KNN,AB,i 16000-18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0217
KNN,AB,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,c 40-44,B,0.0041
Brampton,Ingram,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0083
Brampton,ON,d 6000-8000,g 1.5-2.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0041
Brampton,ON,g 12000-14000,e 0.8-1.0,c 1.02-1.04,LED,VIZIO,f >=57,W,0.0427
Indis,QC,f 10000-12000,f 1.0-1.5,h 1.12-1.14,PLASMA,SAMSUNG,c 40-44,B,0.0094
KNN,SK,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0094
Brampton,Ingram,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0063
Brampton,ON,c 4000-6000,g 1.5-2.0,a <1,LED,VIZIO,a <30,B,0.0263
Langley,BC,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0053
KNN,AB,b 2000-4000,i 3.0-4.0,h 1.12-1.14,LED,CHINA,a <30,B,0.0264
Brampton,ON,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0042
Indis,NS,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.0287
Brampton,Ingram,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.0043
Brampton,ON,b 2000-4000,i 3.0-4.0,d 1.04-1.06,LED,SONY,b 30-39,B,0.0096
Indis,QC,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,W,0.0256
Indis,QC,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,d 45-49,W,0.0096
Indis,NS,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0504
Indis,QC,i 16000-18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0248
KNN,AB,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0496
Langley,BC,g 12000-14000,g 1.5-2.0,e 1.06-1.08,LED,LG,c 40-44,B,0.0086
Indis,QC,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0361
KNN,AB,a <2000,f 1.0-1.5,e 1.06-1.08,LED,LG,b 30-39,B,0.0044
Brampton,Ingram,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0309
Brampton,ON,h 14000-16000,f 1.0-1.5,g 1.10-1.12,PLASMA,SAMSUNG,e 50-56,B,0.0055
Langley,BC,h 14000-16000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,b 30-39,B,0.0045
Brampton,ON,j >18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0112
Langley,BC,d 6000-8000,e 0.8-1.0,g 1.10-1.12,OTHER,CHINA,a <30,B,0.0774
Indis,QC,j >18000,c 0.6-0.7,g 1.10-1.12,LED,SAMSUNG,c 40-44,B,0.0034
Indis,QC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.0147
Brampton,Ingram,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0091
Indis,QC,h 14000-16000,b 0.5-0.6,e 1.06-1.08,LED,LG,d 45-49,B,0.0125
Langley,BC,c 4000-6000,j >4.0,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0069
Brampton,ON,h 14000-16000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,B,0.0323
KNN,AB,d 6000-8000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0012
Indis,QC,i 16000-18000,e 0.8-1.0,g 1.10-1.12,LED,SAMSUNG,b 30-39,B,0.0175
Brampton,ON,h 14000-16000,f 1.0-1.5,f 1.08-1.10,PLASMA,SAMSUNG,f >=57,W,0.0153
Langley,BC,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LED,SONY,f >=57,W,0.0059
Indis,QC,d 6000-8000,g 1.5-2.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0095
Langley,BC,h 14000-16000,b 0.5-0.6,e 1.06-1.08,LED,LG,d 45-49,B,0.0036
KNN,AB,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0048
Brampton,ON,g 12000-14000,g 1.5-2.0,d 1.04-1.06,LED,VIZIO,f >=57,W,0.0767
Brampton,ON,h 14000-16000,c 0.6-0.7,e 1.06-1.08,4K,SAMSUNG,e 50-56,W,0.0036
Indis,QC,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0289
KNN,AB,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0121
Indis,QC,h 14000-16000,f 1.0-1.5,g 1.10-1.12,PLASMA,SAMSUNG,f >=57,W,0.0169
Brampton,Ingram,d 6000-8000,g 1.5-2.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0048
Brampton,ON,g 12000-14000,d 0.7-0.8,c 1.02-1.04,LED,LG,f >=57,W,0.023
Brampton,ON,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,d 45-49,B,0.0097
Indis,QC,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0158
Langley,BC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.0097
Brampton,Ingram,j >18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0
Indis,QC,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,B,0.0282
Langley,BC,g 12000-14000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,d 45-49,B,0.0012
Langley,BC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0025
Indis,QC,h 14000-16000,d 0.7-0.8,c 1.02-1.04,LED,VIZIO,e 50-56,B,0.042
Indis,QC,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0632
Brampton,Brampton,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0062
Indis,QC,b 2000-4000,h 2.0-3.0,e 1.06-1.08,OTHER,CHINA,a <30,B,0.0624
Brampton,Brampton,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0013
KNN,AB,h 14000-16000,d 0.7-0.8,c 1.02-1.04,LED,VIZIO,e 50-56,B,0.0251
Brampton,Ingram,g 12000-14000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,a <30,B,0.0126
Langley,BC,h 14000-16000,f 1.0-1.5,g 1.10-1.12,PLASMA,SAMSUNG,f >=57,W,0.0139
Indis,QC,a <2000,f 1.0-1.5,e 1.06-1.08,LED,LG,b 30-39,B,0.0088
KNN,AB,h 14000-16000,b 0.5-0.6,e 1.06-1.08,LED,LG,d 45-49,B,0.0127
Langley,BC,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.0026
Langley,BC,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0051
Brampton,ON,c 4000-6000,f 1.0-1.5,c 1.02-1.04,4K,SAMSUNG,e 50-56,W,0.0026
Indis,NS,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0129
KNN,AB,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0
Brampton,ON,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0052
Langley,BC,b 2000-4000,i 3.0-4.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0065
KNN,AB,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LCD,SONY,b 30-39,B,0.0039
Brampton,ON,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,f >=57,W,0.0052
Indis,QC,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0143
Brampton,ON,g 12000-14000,d 0.7-0.8,c 1.02-1.04,4K,SAMSUNG,f >=57,W,0.0065
KNN,AB,b 2000-4000,h 2.0-3.0,b 1-1.02,4K,SAMSUNG,e 50-56,W,0.0157
Indis,QC,f 10000-12000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0092
Brampton,MB,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0039
Indis,QC,b 2000-4000,i 3.0-4.0,b 1-1.02,LED,SONY,e 50-56,B,0.0118
KNN,AB,c 4000-6000,i 3.0-4.0,b 1-1.02,LED,SAMSUNG,e 50-56,W,0.0013
Brampton,ON,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.0184
Indis,QC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,W,0.0132
KNN,AB,d 6000-8000,g 1.5-2.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0146
Langley,BC,a <2000,f 1.0-1.5,e 1.06-1.08,LED,LG,b 30-39,B,0.0013
KNN,AB,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,W,0.0107
Brampton,ON,h 14000-16000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,e 50-56,W,0.0134
Langley,BC,b 2000-4000,h 2.0-3.0,d 1.04-1.06,LED,SONY,c 40-44,B,0.0054
Langley,Ingram,g 12000-14000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,d 45-49,B,0
Brampton,ON,j >18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,B,0.0027
KNN,AB,f 10000-12000,e 0.8-1.0,f 1.08-1.10,PLASMA,LG,e 50-56,B,0.0069
Brampton,ON,g 12000-14000,b 0.5-0.6,d 1.04-1.06,4K,LG,d 45-49,B,0.0083
KNN,AB,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,B,0.0345
Langley,BC,d 6000-8000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0028
Brampton,Ingram,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0194
KNN,AB,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0084
Brampton,ON,i 16000-18000,d 0.7-0.8,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0.0084
Brampton,Ingram,g 12000-14000,f 1.0-1.5,d 1.04-1.06,LED,SONY,d 45-49,B,0.0028
Indis,QC,g 12000-14000,e 0.8-1.0,e 1.06-1.08,LED,CHINA,b 30-39,B,0.1016
Indis,QC,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,d 45-49,B,0.0028
KNN,AB,e 8000-10000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,B,0.0085
Brampton,ON,i 16000-18000,e 0.8-1.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.0241
Indis,QC,a <2000,j >4.0,e 1.06-1.08,PLASMA,LG,c 40-44,B,0.0057
Indis,QC,d 6000-8000,f 1.0-1.5,f 1.08-1.10,LED,VIZIO,a <30,B,0.0228
Indis,NS,c 4000-6000,h 2.0-3.0,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0043
Indis,QC,c 4000-6000,e 0.8-1.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0014
KNN,AB,f 10000-12000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0057
Langley,BC,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0272
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,4K,SAMSUNG,c 40-44,B,0.0043
KNN,AB,h 14000-16000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0201
Langley,BC,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LCD,SONY,b 30-39,B,0.0029
Indis,QC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0115
Indis,QC,d 6000-8000,g 1.5-2.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0058
KNN,AB,f 10000-12000,f 1.0-1.5,h 1.12-1.14,PLASMA,SAMSUNG,c 40-44,B,0.0058
Brampton,ON,f 10000-12000,a <0.5,d 1.04-1.06,4K,SONY,e 50-56,W,0.0072
KNN,AB,d 6000-8000,h 2.0-3.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0131
Indis,QC,f 10000-12000,d 0.7-0.8,d 1.04-1.06,4K,LG,c 40-44,B,0.0087
KNN,SK,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0262
Indis,QC,h 14000-16000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0541
Langley,Ingram,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0015
Langley,BC,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,c 40-44,B,0
KNN,AB,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,d 45-49,W,0.0089
KNN,AB,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,VIZIO,f >=57,W,0.0462
Langley,Ingram,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0164
Langley,BC,j >18000,c 0.6-0.7,g 1.10-1.12,LED,SAMSUNG,c 40-44,B,0.0045
Brampton,ON,i 16000-18000,b 0.5-0.6,d 1.04-1.06,4K,SAMSUNG,e 50-56,W,0.0269
Langley,BC,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0105
Brampton,Ingram,d 6000-8000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,a <30,B,0.0136
KNN,AB,h 14000-16000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,b 30-39,B,0.0151
Langley,BC,f 10000-12000,e 0.8-1.0,f 1.08-1.10,PLASMA,LG,e 50-56,B,0.0015
Indis,QC,e 8000-10000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,B,0.003
Brampton,Ingram,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0061
Langley,BC,h 14000-16000,d 0.7-0.8,c 1.02-1.04,LED,VIZIO,e 50-56,B,0.0123
Brampton,ON,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,LG,a <30,B,0.0031
Langley,Ingram,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0031
KNN,AB,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0093
Brampton,ON,e 8000-10000,f 1.0-1.5,b 1-1.02,LED,SONY,e 50-56,B,0.0047
Indis,QC,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0609
KNN,AB,j >18000,c 0.6-0.7,g 1.10-1.12,LED,SAMSUNG,c 40-44,B,0.011
Langley,BC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,LG,b 30-39,B,0.0016
Langley,BC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,W,0.0078
Langley,BC,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LCD,SAMSUNG,e 50-56,B,0.0078
Brampton,ON,b 2000-4000,j >4.0,c 1.02-1.04,LED,SONY,f >=57,W,0.0063
KNN,AB,b 2000-4000,h 2.0-3.0,e 1.06-1.08,OTHER,CHINA,a <30,B,0.0332
Langley,BC,d 6000-8000,h 2.0-3.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0016
Indis,QC,c 4000-6000,i 3.0-4.0,b 1-1.02,LED,SAMSUNG,e 50-56,W,0.0016
Langley,BC,f 10000-12000,f 1.0-1.5,h 1.12-1.14,PLASMA,SAMSUNG,c 40-44,B,0.0048
Langley,BC,h 14000-16000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,e 50-56,W,0
Brampton,ON,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LED,VIZIO,a <30,B,0.0192
Indis,QC,d 6000-8000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,d 45-49,B,0.0304
KNN,AB,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LCD,SAMSUNG,e 50-56,B,0.0081
KNN,AB,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0307
Langley,BC,c 4000-6000,i 3.0-4.0,b 1-1.02,LED,SAMSUNG,e 50-56,W,0
KNN,AB,d 6000-8000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,d 45-49,B,0.0081
Langley,BC,d 6000-8000,g 1.5-2.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0033
Langley,BC,g 12000-14000,b 0.5-0.6,g 1.10-1.12,4K,SAMSUNG,e 50-56,B,0
Brampton,Ingram,e 8000-10000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,B,0.0016
Indis,QC,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LCD,SAMSUNG,e 50-56,B,0.0082
Indis,QC,i 16000-18000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0327
KNN,AB,f 10000-12000,d 0.7-0.8,d 1.04-1.06,4K,LG,c 40-44,B,0.0164
Langley,BC,h 14000-16000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,f >=57,W,0.0181
Indis,QC,f 10000-12000,d 0.7-0.8,c 1.02-1.04,4K,LG,e 50-56,W,0.0446
Indis,QC,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LED,SONY,f >=57,W,0.0182
Indis,QC,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0132
Langley,Ingram,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0116
KNN,AB,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,SONY,b 30-39,B,0.005
Brampton,Ingram,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.0033
Langley,BC,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,W,0.0083
KNN,AB,b 2000-4000,h 2.0-3.0,d 1.04-1.06,LED,SONY,c 40-44,B,0.0033
KNN,AB,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,LG,e 50-56,W,0.0167
Brampton,Ingram,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,LG,b 30-39,B,0.0017
Indis,NS,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0219
Langley,BC,i 16000-18000,e 0.8-1.0,g 1.10-1.12,LED,SAMSUNG,b 30-39,B,0.0101
Langley,BC,j >18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.0017
Brampton,ON,f 10000-12000,d 0.7-0.8,d 1.04-1.06,LED,SONY,f >=57,W,0.0101
Indis,QC,f 10000-12000,e 0.8-1.0,c 1.02-1.04,4K,LG,d 45-49,B,0.0084
Langley,BC,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,SONY,b 30-39,B,0.0118
Brampton,NB,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0372
Brampton,ON,b 2000-4000,i 3.0-4.0,d 1.04-1.06,LED,LG,d 45-49,W,0.0118
Langley,BC,b 2000-4000,i 3.0-4.0,b 1-1.02,LED,SONY,e 50-56,B,0.0034
Langley,Ingram,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0
Brampton,Ingram,g 12000-14000,b 0.5-0.6,g 1.10-1.12,4K,SAMSUNG,e 50-56,B,0
KNN,AB,f 10000-12000,d 0.7-0.8,c 1.02-1.04,4K,LG,e 50-56,W,0.0307
KNN,AB,i 16000-18000,e 0.8-1.0,g 1.10-1.12,LED,SAMSUNG,b 30-39,B,0.017
Langley,Ingram,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0
KNN,SK,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0173
Brampton,Ingram,f 10000-12000,e 0.8-1.0,c 1.02-1.04,4K,LG,d 45-49,B,0.0052
Brampton,Brampton,h 14000-16000,c 0.6-0.7,e 1.06-1.08,4K,SAMSUNG,f >=57,W,0
Indis,NS,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0157
Indis,QC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,SONY,d 45-49,B,0.0087
KNN,AB,e 8000-10000,e 0.8-1.0,e 1.06-1.08,LED,VIZIO,c 40-44,B,0.0106
Indis,QC,h 14000-16000,f 1.0-1.5,d 1.04-1.06,LED,LG,e 50-56,B,0.03
KNN,AB,h 14000-16000,f 1.0-1.5,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0
Brampton,ON,c 4000-6000,h 2.0-3.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.0089
Brampton,ON,d 6000-8000,f 1.0-1.5,i 1.14-1.16,LED,SAMSUNG,a <30,B,0.0125
Indis,NS,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0036
Brampton,ON,f 10000-12000,d 0.7-0.8,d 1.04-1.06,4K,SONY,e 50-56,W,0.0072
Langley,BC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0089
Indis,QC,g 12000-14000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,d 45-49,B,0
Brampton,MB,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0432
Brampton,ON,h 14000-16000,d 0.7-0.8,e 1.06-1.08,LED,LG,c 40-44,B,0.009
Langley,Ingram,g 12000-14000,e 0.8-1.0,g 1.10-1.12,LED,CHINA,b 30-39,B,0.0018
Langley,Ingram,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0146
KNN,AB,d 6000-8000,f 1.0-1.5,f 1.08-1.10,LED,VIZIO,a <30,B,0.0219
Brampton,MB,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0073
Brampton,ON,f 10000-12000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,W,0.011
Indis,NS,e 8000-10000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.0606
KNN,AB,g 12000-14000,e 0.8-1.0,e 1.06-1.08,LED,CHINA,b 30-39,B,0.011
KNN,AB,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LCD,CHINA,c 40-44,B,0.0055
Brampton,Ingram,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,e 50-56,B,0
Brampton,Brampton,i 16000-18000,b 0.5-0.6,d 1.04-1.06,4K,SAMSUNG,e 50-56,W,0
Brampton,ON,d 6000-8000,f 1.0-1.5,b 1-1.02,LED,SAMSUNG,e 50-56,W,0.0018
Brampton,ON,h 14000-16000,d 0.7-0.8,g 1.10-1.12,LED,SAMSUNG,f >=57,W,0
Brampton,ON,f 10000-12000,h 2.0-3.0,e 1.06-1.08,LED,SONY,b 30-39,B,0.0074
Brampton,MB,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0019
KNN,MB,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0
KNN,AB,a <2000,j >4.0,e 1.06-1.08,PLASMA,LG,c 40-44,B,0.0188
Brampton,MB,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0113
Brampton,MB,e 8000-10000,f 1.0-1.5,g 1.10-1.12,LED,CHINA,a <30,B,0.0549
Brampton,MB,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,SAMSUNG,b 30-39,B,0.0076
Brampton,Ingram,f 10000-12000,d 0.7-0.8,d 1.04-1.06,4K,LG,c 40-44,B,0.0038
KNN,AB,g 12000-14000,b 0.5-0.6,g 1.10-1.12,4K,SAMSUNG,e 50-56,B,0.0019
Brampton,ON,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,LG,d 45-49,B,0.0172
KNN,AB,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0019
Brampton,ON,b 2000-4000,i 3.0-4.0,d 1.04-1.06,LED,SONY,f >=57,W,0.0019
Langley,BC,b 2000-4000,h 2.0-3.0,e 1.06-1.08,OTHER,CHINA,a <30,B,0.048
Langley,BC,e 8000-10000,e 0.8-1.0,c 1.02-1.04,LED,SONY,e 50-56,B,0.0115
Langley,BC,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0019
Brampton,ON,h 14000-16000,d 0.7-0.8,c 1.02-1.04,LED,SAMSUNG,e 50-56,W,0.0039
Langley,BC,d 6000-8000,h 2.0-3.0,c 1.02-1.04,LED,SAMSUNG,d 45-49,B,0.0058
Langley,BC,b 2000-4000,h 2.0-3.0,b 1-1.02,4K,SAMSUNG,e 50-56,W,0.0058
Brampton,Ingram,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0058
Indis,QC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0881
Brampton,Brampton,i 16000-18000,d 0.7-0.8,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0
Langley,BC,g 12000-14000,c 0.6-0.7,d 1.04-1.06,4K,LG,e 50-56,W,0
